alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
48	883488921725116	36229	6	(489:67[0.26000000000000006],523:32[0.21000000000000005],552:145[0.15],554:19[0.12999999999999998],555:270[0.12999999999999998],562:19[0.15],)	552	2518.827692276687	-3946.2078726191626	-14688.32681881971	11	10.398	13	8	(0.1093886950502016,0.0811782277500449,0.09218247987809187,0.09561938181001939,0.05635072397775254,0.06581167757029213,)
49	885219055371095	36747	6	(489:70[0.2700000000000001],523:71[0.22000000000000006],552:76[0.13999999999999999],554:103[0.13999999999999999],555:174[0.11999999999999998],562:26[0.16],)	520	2452.178744759416	-1528.540328021932	-14695.045311256883	9	9.936	14	8	(0.10079130426728672,0.13281677293780342,0.08209460524297192,0.0877429349693676,0.06464387313745397,0.06431432202349918,)
50	886675809530542	37253	6	(489:232[0.2800000000000001],523:19[0.23000000000000007],552:55[0.15],554:54[0.12999999999999998],555:127[0.10999999999999999],562:19[0.17],)	506	2452.178744759416	-317.6510724985636	-14693.12796255573	9	9.5	14	8	(0.0793265264172323,0.08517778165788406,0.05345716938481163,0.07630524981703747,0.0776810669443635,0.08705720002615909,)
51	901572429558009	41157	6	(489:215[0.2700000000000001],523:90[0.24000000000000007],552:829[0.16],554:365[0.13999999999999999],555:118[0.09999999999999999],562:2291[0.18000000000000002],)	3908	2476.7898530328375	-124.17490907821615	-14698.595197018987	9	84.026	15	8	(0.10267331621014042,0.06841889030734315,0.05870325186180518,0.09282973070126763,0.09345668794854586,0.04960093630499,)
52	904232724091959	42015	4	(489:148[0.26000000000000006],523:230[0.23000000000000007],552:310[0.15],555:170[0.09],)	858	2479.7578942027226	1047.7646878208632	-14694.527954150228	9	15.446	12	8	(0.05685507766137221,0.0634695606785468,0.05802814524750894,0.05317502313469466,)
53	905791739293616	42515	4	(489:159[0.25000000000000006],523:61[0.22000000000000006],552:223[0.13999999999999999],555:61[0.08],)	504	2479.7578942027226	1119.22611357801	-14671.763229577911	9	9.21	12	8	(0.05459117145642925,0.04010991406418317,0.05584027626477674,0.048668597062851246,)
54	907381928896884	43039	3	(489:54[0.24000000000000005],523:202[0.23000000000000007],552:248[0.12999999999999998],)	504	2504.9919832418686	951.4452440222015	-14687.577761583554	9	9.092	12	8	(0.08396264601348717,0.06881123169298822,0.046051543056464375,)
55	908912673542664	43539	3	(489:158[0.25000000000000006],523:100[0.22000000000000006],552:245[0.11999999999999998],)	503	2522.0568435834243	1110.0208603449116	-14692.254772140766	13	9.262	13	8	(0.05450696076735084,0.06010823588877947,0.06838338389106924,)
56	910457364999350	44039	3	(489:350[0.26000000000000006],523:79[0.23000000000000007],552:74[0.10999999999999999],)	503	2522.0568435834243	1019.7859611388344	-14694.340255851468	13	9.17	13	8	(0.06738558023932821,0.054724197018294125,0.050529812104816725,)
57	911986249294059	44539	3	(489:302[0.25000000000000006],523:71[0.24000000000000007],552:130[0.11999999999999998],)	503	2522.0568435834243	1005.391971702574	-14688.473705702225	13	9.128	13	8	(0.0740594420790917,0.0711571823182064,0.060171464706243835,)
