alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_773495747581566
Random seed:          1111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
50	788239798020834	26455	4	(508:207[0.19],523:118[0.2700000000000001],533:91[0.13999999999999999],537:88[0.22000000000000006],)	504	-31.7	-906.105238095238	-10000.0	15	15.028	24	8	(0.10038419915108583,0.04971400028846953,0.05651904662298205,0.0449467565080829,)
51	788504578993164	26955	4	(508:145[0.18],523:103[0.2800000000000001],533:86[0.15],537:170[0.23000000000000007],)	504	-31.7	-731.9676785714285	-10000.0	15	15.32	24	8	(0.11610881927006331,0.05462449369687596,0.07472093452419633,0.09204500072806711,)
52	788891084887835	27455	4	(508:66[0.16999999999999998],523:148[0.2900000000000001],533:124[0.16],537:166[0.22000000000000006],)	504	-31.27	-1032.4925992063495	-10000.0	15	15.694	25	8	(0.08270201272676114,0.09973028355413807,0.11966592256753068,0.05645406227916549,)
53	789156380077613	27955	4	(508:51[0.18],523:151[0.2800000000000001],533:88[0.17],537:214[0.21000000000000005],)	504	-31.27	-607.1395238095239	-10000.0	15	16.676	24	8	(0.0923486690802288,0.06449260820948562,0.06503691646948483,0.04986149273270569,)
54	789296990537018	28455	4	(508:39[0.19],523:145[0.2700000000000001],533:141[0.18000000000000002],537:179[0.20000000000000004],)	504	-29.99	-351.6136111111111	-9932.1	19	17.234	24	9	(0.09134309568504229,0.0819398310269895,0.08914262987427683,0.054599704934674344,)
55	789518737782622	28955	4	(508:51[0.2],523:114[0.26000000000000006],533:164[0.17],537:175[0.19000000000000003],)	504	-29.99	-508.034523809524	-10000.0	19	16.954	25	9	(0.09866309359381464,0.07570854725644525,0.07095549716428035,0.06936163168873387,)
56	789694382856548	29455	4	(508:24[0.21000000000000002],523:137[0.2700000000000001],533:187[0.16],537:156[0.18000000000000002],)	504	-29.99	-407.536507936508	-9976.94	19	17.216	26	9	(0.07067091794523507,0.06498495814279867,0.07326561721309126,0.05709950561013015,)
57	789880168668792	29955	4	(508:20[0.22000000000000003],523:129[0.26000000000000006],533:160[0.15],537:195[0.17],)	504	-29.99	-394.95499999999987	-10000.0	19	17.788	26	9	(0.07590937251667793,0.07212260084071752,0.08267094176378505,0.06185518319759363,)
58	790014175612942	30455	4	(508:107[0.23000000000000004],523:18[0.25000000000000006],533:278[0.13999999999999999],537:101[0.16],)	504	-29.99	-348.65750000000014	-10000.0	19	16.59	27	9	(0.04172786793015123,0.0799240605842706,0.06112080684284374,0.065519621444341,)
59	790158658019469	30955	4	(508:227[0.24000000000000005],523:18[0.26000000000000006],533:76[0.12999999999999998],537:183[0.17],)	504	-29.99	-377.8613888888889	-10000.0	19	16.176	28	9	(0.04060605865849479,0.056415327569893106,0.0785764113897085,0.0460345816186022,)
60	790333469780855	31455	4	(508:159[0.23000000000000004],523:175[0.2700000000000001],533:39[0.13999999999999999],537:131[0.16],)	504	-29.98	-436.05902777777777	-9986.58	20	16.746	28	10	(0.07216784056021565,0.04322888057817624,0.06351891989176292,0.09654134625738026,)
61	790678539742909	31955	4	(508:150[0.22000000000000003],523:175[0.26000000000000006],533:24[0.15],537:155[0.15],)	504	-29.98	-715.7296825396824	-10000.0	20	17.218	26	9	(0.058259920987021645,0.05325280976473883,0.037898611994594406,0.06468564419799919,)
62	790990318921109	32455	4	(508:145[0.21000000000000002],523:31[0.25000000000000006],533:290[0.16],537:38[0.13999999999999999],)	504	-29.98	-654.1262698412698	-10000.0	20	19.08	26	9	(0.061109052608653416,0.04926068512512222,0.056516648423994544,0.04407631256753551,)
63	791206047219653	32955	4	(508:83[0.2],523:60[0.26000000000000006],533:88[0.15],537:273[0.15],)	504	-29.98	-572.7932341269839	-10000.0	20	17.656	24	11	(0.047673699774813845,0.06945079465979005,0.04196439804523881,0.0379440703688789,)
64	791464895865036	33455	4	(508:70[0.21000000000000002],523:73[0.2700000000000001],533:226[0.16],537:135[0.13999999999999999],)	504	-29.98	-525.0276587301588	-10000.0	20	18.582	25	10	(0.09832658114590323,0.05772619358478644,0.06447335020007504,0.052556501550329114,)
65	791824352357229	33955	4	(508:190[0.22000000000000003],523:119[0.2800000000000001],533:83[0.15],537:112[0.12999999999999998],)	504	-29.98	-696.2925000000001	-10000.0	20	18.906	25	10	(0.03912099180764822,0.044974766260892404,0.04965577108154265,0.03426301729129021,)
66	792089647589944	34463	3	(508:144[0.21000000000000002],523:56[0.2900000000000001],537:304[0.13999999999999999],)	504	-29.98	-476.2089484126985	-10000.0	20	19.528	26	9	(0.03935170788623615,0.07688770393482162,0.06486709221324555,)
67	792304019907080	34963	3	(508:215[0.22000000000000003],523:121[0.3000000000000001],537:167[0.12999999999999998],)	503	-29.98	-384.40278330019885	-10000.0	20	19.686	25	13	(0.07538901761249711,0.060767667869375035,0.08538853186793985,)
68	792651864105738	35463	3	(508:279[0.21000000000000002],523:40[0.3100000000000001],537:184[0.11999999999999998],)	503	-29.98	-641.9576341948307	-10000.0	20	19.67	25	12	(0.0677205589420605,0.056503386933155056,0.044932877337771765,)
69	792882436311141	35963	3	(508:183[0.2],523:104[0.3200000000000001],537:216[0.10999999999999999],)	503	-29.62	-451.3236182902585	-10000.0	22	18.458	26	12	(0.05036931833673466,0.05626023128960312,0.057322384542329234,)
70	793294655922829	36463	3	(508:242[0.19],523:91[0.3300000000000001],537:170[0.09999999999999999],)	503	-29.62	-787.9624254473163	-10000.0	22	18.992	26	12	(0.06948449016813107,0.05069934725629864,0.056007133602280906,)
71	793568253447007	36963	3	(508:89[0.18],523:239[0.34000000000000014],537:175[0.09],)	503	-29.62	-508.33351888668	-10000.0	22	18.626	27	13	(0.08119974854075156,0.05347589672656983,0.06683817905164999,)
72	794001696784808	37463	3	(508:367[0.19],523:118[0.3300000000000001],537:18[0.08],)	503	-29.62	-782.5352485089467	-10000.0	22	19.796	28	12	(0.07540148178444596,0.07545400652988192,0.06509144420700536,)
73	794422372541795	37963	3	(508:148[0.18],523:162[0.34000000000000014],537:193[0.09],)	503	-29.62	-769.005546719682	-10000.0	22	19.376	28	14	(0.08709767548449739,0.11000684329675767,0.03709789541609634,)
74	794934011057079	38463	3	(508:247[0.19],523:33[0.35000000000000014],537:223[0.08],)	503	-29.62	-836.4403976143144	-10000.0	22	20.324	27	13	(0.0671672853772157,0.08536764353726507,0.04043705090150143,)
75	795166562328956	38963	3	(508:228[0.18],523:141[0.36000000000000015],537:134[0.07],)	503	-29.62	-384.67634194831015	-10000.0	22	20.97	28	13	(0.05784509326117615,0.09314664021415368,0.049435349979956245,)
76	795505712862216	39463	3	(508:179[0.16999999999999998],523:175[0.37000000000000016],537:149[0.08],)	503	-29.62	-568.9494831013918	-10000.0	22	21.074	29	12	(0.07924673772259187,0.05785677810961632,0.058942420115987854,)
77	795714936858667	39963	3	(508:228[0.15999999999999998],523:104[0.36000000000000015],537:171[0.09],)	503	-29.62	-316.7574353876739	-9902.68	22	21.618	30	15	(0.06103158804106095,0.09724006458763156,0.04235041306672547,)
78	795954012384471	40463	3	(508:296[0.14999999999999997],523:37[0.37000000000000016],537:170[0.08],)	503	-28.85	-336.61709741550703	-10000.0	23	21.7	31	14	(0.07398343686600968,0.06927022308107705,0.058332072683552,)
79	796225834085104	40963	3	(508:293[0.13999999999999996],523:93[0.38000000000000017],537:117[0.07],)	503	-28.85	-424.7999403578529	-10000.0	23	21.696	31	13	(0.08064608707575502,0.11490710122979284,0.05909346632834048,)
80	796516126924279	41463	3	(508:60[0.12999999999999995],523:243[0.3900000000000002],537:200[0.08],)	503	-28.85	-461.44403578528835	-9956.87	23	21.242	32	14	(0.08406593680996705,0.07031722541547988,0.04538897368695128,)
